Оюутны_хувийн_дугаар,Санал_1_өгсөн_хөтөлбөрийн_дугаар,Санал_2_өгсөн_хөтөлбөрийн_нэр,Санал_3_өгсөн_хөтөлбөрийн_нэр,Санал_4_өгсөн_хөтөлбөрийн_нэр,Баталгаажуулсан_Хөтөлбөрийн_дугаар,Баталгаажуулсан_Хөтөлбөрийн_нэр
6549eba73e19aec04b380352f6f1e340,Санхүү,Нягтлан бодох бүртгэл,Банк,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
72e15501a23434a6b0f09a12708623a5,Санхүү,Банк,Нягтлан бодох бүртгэл,Даатгал,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
496af4c36012946317cedf325a6c21e0,Санхүү,Банк,Нягтлан бодох бүртгэл,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
262c551ab55bd289c1c915f2fb4222d2,Маркетинг,Худалдаа,Менежмент,Санхүү,efb827b524ab9f25d3185560cdb91af1,Худалдаа
de2a0a15b72a0a6c5f498c51eb5ed527,Менежмент,Санхүү,Банк,Даатгал,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
2f09d4f9e227887fab8cb0231bed2c23,Нягтлан бодох бүртгэл,Банк,Менежмент,Санхүү,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
775fe8e245f42fbb03a2a8db625aff23,Санхүү,Нягтлан бодох бүртгэл,Банк,Менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
65b5850cfa3e50c2211bc24ca0e86779,Банк,Санхүү,Менежмент,Маркетинг,a4fe004a3a0bad5652f080838d7fc0e5,Банк
ab03badfe2fc3c87e0a2e61e086725b3,Худалдаа,Маркетинг,Аялал жуулчлалын менежмент,Нягтлан бодох бүртгэл,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
a1d7d42d743ee0a89dcc84260b644fcb,Банк,Нягтлан бодох бүртгэл,Санхүү,Маркетинг,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
11e993a88080190eaeb910766d08381a,Санхүү,Маркетинг,Менежмент,Нягтлан бодох бүртгэл,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
5fac62a46bd178cc8339ca99500f701c,Санхүү,Банк,Даатгал,Нягтлан бодох бүртгэл,a4fe004a3a0bad5652f080838d7fc0e5,Банк
0a66e1540bb8cd87aa352d1478e90501,Санхүү,Менежмент,Нягтлан бодох бүртгэл,Банк,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
90fafb8f66734889c573b94eda496175,Санхүү,Банк,Нягтлан бодох бүртгэл,Менежмент,a4fe004a3a0bad5652f080838d7fc0e5,Банк
19ef1fccac5a002f2fa99262c11d3ad6,Санхүү,Банк,Даатгал,Нягтлан бодох бүртгэл,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
162185afaac6b4d8c6f17404f1aaccaf,Нягтлан бодох бүртгэл,Санхүү,Банк,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
c39e71c4b15589d8959755aedd56ad8c,Нягтлан бодох бүртгэл,Санхүү,Маркетинг,Менежмент,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
be299ee9e2625da0cce1475d1ca8291c,Маркетинг,Менежмент,Нягтлан бодох бүртгэл,Санхүү,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
db7a68129db991056543d0f4f7ae56fa,Маркетинг,Менежмент,Нягтлан бодох бүртгэл,Аялал жуулчлалын менежмент,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
56646737130e372275faedba85cc7775,Санхүү,Нягтлан бодох бүртгэл,Маркетинг,Менежмент,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
11d9ea40332c9aeb2156cffb46fd2302,Менежмент,Санхүү,Банк,Нягтлан бодох бүртгэл,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
c24c873d70573515fdbc7f53627717a8,Санхүү,Нягтлан бодох бүртгэл,Аялал жуулчлалын менежмент,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
811f2493d0ff4299b049e6cdc83d7f27,Нягтлан бодох бүртгэл,Банк,Даатгал,Санхүү,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
6f006dc260c536bf3df2a9c17ec2649e,Нягтлан бодох бүртгэл,Банк,Даатгал,Санхүү,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
860d2699dc0bdf03b5ea60b2c1b2223d,Санхүү,Банк,Нягтлан бодох бүртгэл,Менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
52ad9700149ccb43e2cdc8ba7c518e7f,Менежмент,Маркетинг,Аялал жуулчлалын менежмент,Санхүү,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
be63097cf5e57f1ab89a3361c3c9492f,Санхүү,Нягтлан бодох бүртгэл,Банк,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
f31e55c3576197ec7c997cb40b898796,Санхүү,Банк,Нягтлан бодох бүртгэл,Даатгал,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
91a51c45525049ed5414bd7b71979536,Санхүү,Банк,Менежмент,Нягтлан бодох бүртгэл,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
12522d2012176a93c46ffbf49aa803e2,Менежмент,Маркетинг,Банк,Даатгал,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
bb5ff00ab928e6b7ce2003212e16e59f,Маркетинг,Нягтлан бодох бүртгэл,Менежмент,Банк,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
f48a06ba5bcb7581836756caae123c81,Нягтлан бодох бүртгэл,Банк,Санхүү,Менежмент,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
74bfbeec453b92595b194ec223cd9477,Санхүү,Менежмент,Нягтлан бодох бүртгэл,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
3766e57424fa2d8217f861709b5e8f52,Банк,Нягтлан бодох бүртгэл,Санхүү,Худалдаа,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
a8f716c73f9745d53e2f611d66f24259,Худалдаа,Санхүү,Менежмент,Банк,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
8955b7b4f072f0baa9ac19039dce1512,Маркетинг,Менежмент,Худалдаа,Санхүү,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
1ef983d9469979bca63a0e856335ef30,Менежмент,Маркетинг,Даатгал,Санхүү,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
7ec210b7dabe07df7eba69262a983ff8,Худалдаа,Менежмент,Маркетинг,Санхүү,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
42fb52e69213a88481f1a54d2d350811,Нягтлан бодох бүртгэл,Санхүү,Банк,Даатгал,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
84fa64b78e6c2e2078b164c04c714ddd,Нягтлан бодох бүртгэл,Банк,Санхүү,Маркетинг,a4fe004a3a0bad5652f080838d7fc0e5,Банк
129ac2b1b6b52c2ad26212793806a863,Санхүү,Нягтлан бодох бүртгэл,Маркетинг,Банк,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
28ea8409f73375b0ad62b3daffbb6402,Менежмент,Санхүү,Банк,Нягтлан бодох бүртгэл,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
e4318537686d5205a26fa3b040c977e4,Худалдаа,Нягтлан бодох бүртгэл,Санхүү,Банк,efb827b524ab9f25d3185560cdb91af1,Худалдаа
c89fb92cf8388a457f21336ff7568965,Нягтлан бодох бүртгэл,Санхүү,Даатгал,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
6c04a5aefde0fd8de973cb52dd6f2624,Санхүү,Нягтлан бодох бүртгэл,Банк,Менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
b81a49a52dcb0016052c3cd50c19d8f7,Санхүү,Нягтлан бодох бүртгэл,Банк,Менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
88a0e207523d2becb64f6a1616d8192a,Маркетинг,Менежмент,Худалдаа,Санхүү,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
696e355b219b680142f0bd4ecb5c0f14,Банк,Маркетинг,Менежмент,Санхүү,a4fe004a3a0bad5652f080838d7fc0e5,Банк
00acc5d1e8ac2372dec3cdafe8bc548e,Нягтлан бодох бүртгэл,Маркетинг,Санхүү,Банк,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
3ac7ab3e16e8c7b559ae6ca8df5ee402,Санхүү,Банк,Менежмент,Нягтлан бодох бүртгэл,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
bd51855736e1626faef745e06c9b0aeb,Маркетинг,Санхүү,Нягтлан бодох бүртгэл,Банк,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
ef878d873fe4ea5e217be4095b1736bf,Санхүү,Банк,Нягтлан бодох бүртгэл,Худалдаа,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
2323e7988305cf7b0332d2512844fa2f,Санхүү,Банк,Нягтлан бодох бүртгэл,Менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
ee048ed409c3fcc3e67849ddc3c1e3e1,Банк,Даатгал,Нягтлан бодох бүртгэл,Санхүү,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
81a548bad4bf1993a684d55c38d4f6ca,Маркетинг,Банк,Даатгал,Менежмент,7aa3353772d23afeeca1c7fec457ab46,Даатгал
5d842a2243c6d06f994dee3e3d0ff4ef,Санхүү,Банк,Менежмент,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
22409f81da286fe3c2bbb17c42a29274,Маркетинг,Санхүү,Нягтлан бодох бүртгэл,Банк,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
71d8cb8f99bfc9bc872c704a1459c96f,Банк,Менежмент,Нягтлан бодох бүртгэл,Маркетинг,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
35be847cde5ed80bac9e8381f7d4e0b9,Санхүү,Нягтлан бодох бүртгэл,Менежмент,Маркетинг,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
33b092f1341fa4902425990820f7e4de,Санхүү,Менежмент,Банк,Даатгал,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
465ca4918876366b69670f8fbdaf1bc9,Санхүү,Нягтлан бодох бүртгэл,Даатгал,Банк,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
400ed6182bbfc576bcccc1edf3adfc23,Худалдаа,Маркетинг,Менежмент,Даатгал,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
061937f366bdd04999d8f4b8f17c5bf9,Менежмент,Нягтлан бодох бүртгэл,Маркетинг,Санхүү,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
a42bbf77cea86f9ed982c2993f79c193,Санхүү,Банк,Нягтлан бодох бүртгэл,Менежмент,a4fe004a3a0bad5652f080838d7fc0e5,Банк
49e4d2aca9b5a0f150e343ba23e717b4,Санхүү,Нягтлан бодох бүртгэл,Банк,Менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
51c713b4804889c34a18915801a56479,Санхүү,Нягтлан бодох бүртгэл,Менежмент,Банк,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
ea7bc04d0f67edde132ef17a483bcab2,Санхүү,Менежмент,Худалдаа,Нягтлан бодох бүртгэл,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
dccd3d382089b00aa938119bd07d9e0a,Даатгал,Нягтлан бодох бүртгэл,Аялал жуулчлалын менежмент,Банк,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
77c7611aba7bd22ba7ee2fa1d6d5d84f,Санхүү,Банк,Нягтлан бодох бүртгэл,Даатгал,a4fe004a3a0bad5652f080838d7fc0e5,Банк
0f8c4c05cf485d26c714afa8687a95eb,Нягтлан бодох бүртгэл,Санхүү,Худалдаа,Банк,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
11844e1ee991052c2a7d766a624405c6,Санхүү,Нягтлан бодох бүртгэл,Аялал жуулчлалын менежмент,Банк,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
17273cd1402883a026135afa71a946f5,Нягтлан бодох бүртгэл,Банк,Санхүү,Маркетинг,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
10d8b20dffaa091db40251a0c9fc2d1f,Санхүү,Нягтлан бодох бүртгэл,Менежмент,Банк,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
bedc8ed53caf33e92902221425aae6ef,Нягтлан бодох бүртгэл,Санхүү,Банк,Менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
e4f4d2b31c2e9f5713fff2120afedb19,Санхүү,Нягтлан бодох бүртгэл,Банк,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
d593de10ff7396a4a6342da4bcecbf12,Банк,Даатгал,Санхүү,Нягтлан бодох бүртгэл,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
438d588c50164ae044870f05c20ffef6,Нягтлан бодох бүртгэл,Санхүү,Маркетинг,Менежмент,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
5124974a224757e0b11944b83771d10c,Нягтлан бодох бүртгэл,Санхүү,Маркетинг,Банк,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
be05ecde54334bf6a149615cc2a1e3fa,Банк,Санхүү,Даатгал,Менежмент,a4fe004a3a0bad5652f080838d7fc0e5,Банк
6fae616a24b1d444941392e0e12789bc,Маркетинг,Худалдаа,Менежмент,Аялал жуулчлалын менежмент,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
d8cd491bff8f39ebf4a8893eb765ed4b,Маркетинг,Менежмент,Санхүү,Худалдаа,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
f42242fe451ba34f8e6af14a1b6efd74,Санхүү,Нягтлан бодох бүртгэл,Банк,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
4392435d0f5f40a274da27bb070ef5b1,Санхүү,Банк,Маркетинг,Менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
24f524f437920857a06bea30e63f5c77,Банк,Санхүү,Маркетинг,Нягтлан бодох бүртгэл,a4fe004a3a0bad5652f080838d7fc0e5,Банк
fe8fc2ae23107852f29f92dba74c62ef,Нягтлан бодох бүртгэл,Санхүү,Даатгал,Менежмент,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
3721ca26d30ad2cd198dd30c237d4a23,Нягтлан бодох бүртгэл,Банк,Маркетинг,Санхүү,a4fe004a3a0bad5652f080838d7fc0e5,Банк
0da89b863c13f44309f5972d81f4c212,Менежмент,Маркетинг,Худалдаа,Санхүү,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
92c5ec1713408fdafea705ad6005417b,Санхүү,Нягтлан бодох бүртгэл,Даатгал,Менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
745dd16e2c16cc5c282a8a9e2ceb620b,Нягтлан бодох бүртгэл,Худалдаа,Аялал жуулчлалын менежмент,Маркетинг,efb827b524ab9f25d3185560cdb91af1,Худалдаа
b1cbbcbdbae346acb33deda29e442c39,Санхүү,Банк,Даатгал,Нягтлан бодох бүртгэл,a4fe004a3a0bad5652f080838d7fc0e5,Банк
ef6bede981b22cca1420db335012056c,Нягтлан бодох бүртгэл,Санхүү,Банк,Менежмент,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
af0f6e6ce2567f44c32ab8521b5fd4df,Санхүү,Нягтлан бодох бүртгэл,Менежмент,Аялал жуулчлалын менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
4bb74164f48ead40f9921dce0cb16f8d,Санхүү,Нягтлан бодох бүртгэл,Менежмент,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
5402f6615555b24161cbe3a9a8694382,Санхүү,Нягтлан бодох бүртгэл,Менежмент,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
517abce9cbc92b20ed6c4cd7ede7633e,Санхүү,Нягтлан бодох бүртгэл,Менежмент,Маркетинг,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
2e9c3f46e13fb8bf6d99c9a147bcbf72,Санхүү,Банк,Нягтлан бодох бүртгэл,Худалдаа,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
c37aba073170d7b2fe1f65a6830d3bc5,Нягтлан бодох бүртгэл,Санхүү,Банк,Менежмент,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
a6745e94b4d928d21f210148c9be35d4,Санхүү,Нягтлан бодох бүртгэл,Менежмент,Банк,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
5399338a81239a6f9c969b044ec45217,Маркетинг,Даатгал,Санхүү,Менежмент,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
bbdc6231e1920b0446dc3a24ac9844bd,Санхүү,Банк,Даатгал,Нягтлан бодох бүртгэл,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
2b63458d6e075033e9889f1b40135b23,Санхүү,Маркетинг,Менежмент,Нягтлан бодох бүртгэл,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
66ac66d9665c1aee9f1864483d1120bf,Маркетинг,Менежмент,Худалдаа,Санхүү,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
ec41357e1d8df9441c9202f4a923defe,Санхүү,Банк,Маркетинг,Нягтлан бодох бүртгэл,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
e9f0fa9455330e908c28ce34faf6aff7,Нягтлан бодох бүртгэл,Банк,Санхүү,Менежмент,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
dfadff92fc247f77de1a9295d3ed47fb,Аялал жуулчлалын менежмент,Маркетинг,Менежмент,Даатгал,630ef14c978d9473b29b5fb69c89fedd,Аялал жуулчлалын менежмент
ae665d2c09861638a1fbc6bc0d33adfd,Нягтлан бодох бүртгэл,Санхүү,Банк,Менежмент,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
5fa2eb676c7ef9f6470db6f4fe7fa29e,Санхүү,Нягтлан бодох бүртгэл,Маркетинг,Банк,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
ff20d50f20100fa91ab1ae67831761df,Маркетинг,Менежмент,Санхүү,Нягтлан бодох бүртгэл,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
019032063fd3d3bae6c80c3788b59011,Санхүү,Нягтлан бодох бүртгэл,Маркетинг,Менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
fd9e553f8804a2af57e449d721f3b0b3,Менежмент,Аялал жуулчлалын менежмент,Санхүү,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
8f315ca16b67657f22a4318628dba688,Маркетинг,Аялал жуулчлалын менежмент,Нягтлан бодох бүртгэл,Санхүү,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
992f4bb75cd6c8e49a8e2fc63ba39678,Санхүү,Банк,Нягтлан бодох бүртгэл,Даатгал,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
861455d5cd5973adb71320e0105e0a37,Маркетинг,Санхүү,Худалдаа,Банк,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
668514abbcdca357ba8ea522abf02ca8,Маркетинг,Менежмент,Худалдаа,Санхүү,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
8a46182fe0820b122907b75f20ec511c,Нягтлан бодох бүртгэл,Санхүү,Банк,Худалдаа,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
b5b7143dae8b68d43abad1b7a3f78627,Банк,Маркетинг,Санхүү,Аялал жуулчлалын менежмент,a4fe004a3a0bad5652f080838d7fc0e5,Банк
141b79cf358af18421eb987c97437477,Маркетинг,Нягтлан бодох бүртгэл,Санхүү,Менежмент,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
6c331ca637438c843aae3aca629b4fd8,Нягтлан бодох бүртгэл,Санхүү,Банк,Менежмент,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
30b2d08ca4e811fab686a89b7d58ceb5,Санхүү,Нягтлан бодох бүртгэл,Даатгал,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
e2de8a17186b6e67dd7dabc9dfd9766b,Менежмент,Аялал жуулчлалын менежмент,Маркетинг,Худалдаа,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
f624b2a7d8666db180abd6866304bab6,Нягтлан бодох бүртгэл,Менежмент,Даатгал,Санхүү,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
b481b132384ee3595f143d5589836f0d,Санхүү,Менежмент,Аялал жуулчлалын менежмент,Нягтлан бодох бүртгэл,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
8d0d7b2f5891e0f113d01c8b3c598ecc,Маркетинг,Санхүү,Худалдаа,Аялал жуулчлалын менежмент,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
b275f881dba8ca6f2002e94dd4426207,Худалдаа,Аялал жуулчлалын менежмент,Санхүү,Даатгал,efb827b524ab9f25d3185560cdb91af1,Худалдаа
b4880137aeea16b1e972a26b2dc7df55,Маркетинг,Худалдаа,Менежмент,Санхүү,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
fef134d4196fcdc39849db74ba7c3e0b,Санхүү,Маркетинг,Банк,Менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
fe038b56934f0cab0590cb3f07043d74,Санхүү,Банк,Менежмент,Маркетинг,a4fe004a3a0bad5652f080838d7fc0e5,Банк
c89501e2ad65b0398e1b92269554d0ae,Менежмент,Санхүү,Банк,Маркетинг,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
ba40ab96ac67fa33e070186db2e16c64,Санхүү,Маркетинг,Даатгал,Банк,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
c692f7db38dafb89739877810b4b9a52,Менежмент,Маркетинг,Нягтлан бодох бүртгэл,Банк,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
74d625bc641639f8229fc04a159b286a,Санхүү,Нягтлан бодох бүртгэл,Маркетинг,Банк,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
ef633039b0d94c8e499a0f1a0115656c,Санхүү,Банк,Маркетинг,Нягтлан бодох бүртгэл,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
2b1b41f1aa1d434d7e2fe3f4ed2beba5,Маркетинг,Банк,Санхүү,Менежмент,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
7594501a2d6d8f265d4802480ed90e81,Санхүү,Банк,Нягтлан бодох бүртгэл,Менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
8372370ccfefe3af09a3fc1799349627,Банк,Санхүү,Нягтлан бодох бүртгэл,Менежмент,a4fe004a3a0bad5652f080838d7fc0e5,Банк
d25092d08e16897e89c6a66c3ab34445,Менежмент,Маркетинг,Худалдаа,Аялал жуулчлалын менежмент,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
0d4c91d4d8568c21a07732ba1b53091f,Нягтлан бодох бүртгэл,Маркетинг,Санхүү,Менежмент,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
c43a8f4c9bb46ae063475040fafbd4c7,Санхүү,Банк,Нягтлан бодох бүртгэл,Даатгал,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
ce39b0c48c8b400ad686350cc1e980f3,Санхүү,Банк,Маркетинг,Аялал жуулчлалын менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
fb1df5f4f5e077651abffe6391b3e691,Маркетинг,Менежмент,Банк,Санхүү,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
149d38acc75201af33006e68118f9f7a,Нягтлан бодох бүртгэл,Санхүү,Менежмент,Банк,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
